===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 8
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	0:		6fc    20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2002b D  
Set 	23:		20027 D  20024    20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  
Set 	24:		20018 D  20022 D  2002a D  20024    20028 D  20019 D  2001f D  2001a D  
Set 	25:		20018 D  2002a D  20027 D  20028 D  20019 D  2001f D  2001a D  20022 D  
Set 	26:		20022 D  20018 D  2001a D  2002a D  20024    20019 D  20028 D  2001f D  
Set 	27:		20027 D  20028 D  20019 D  2001f D  2001a D  20022 D  20018 D  2002a D  
Set 	28:		20018 D  2002a D  20001 D  20027 D  20028 D  2001f D  2001a D  20022 D  
Set 	29:		2001a D  2001f D  20022 D  20018 D  2002a D  2001d D  20028 D  20019 D  
Set 	30:		20018 D  20027 D  2002a D  2001c    20028 D  2001f D  2001a D  20022 D  
Set 	31:		2001a D  20022 D  20018 D  2002a D  20024 D  20028 D  2001d D  2001f D  
Set 	32:		20018 D  20022 D  2002a D  20027 D  20028 D  20019 D  2001f D  2001a D  
Set 	33:		20022 D  2002a D  2001a D  2001f D  20018 D  20027 D  20024    20028 D  
Set 	34:		2001a D  20022 D  20018 D  20027 D  2002a D  20019 D  20028 D  2001f D  
Set 	35:		20022 D  20018 D  2002a D  20001    20027 D  20028 D  2001f D  2001a D  
Set 	36:		20018 D  2001f D  2002a D  20022 D  2001a D  20027 D  20028 D  20019 D  
Set 	37:		20022 D  20018 D  2001a D  2002a D  2001b D  20019 D  20028 D  2001f D  
Set 	38:		20018 D  2002a D  20022 D  20027 D  2001b D  20028 D  2001f D  2001a D  
Set 	39:		2001b D  2002a D  20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  
Set 	40:		20018 D  20022 D  2002a D  2001b D  20019 D  20028 D  2001f D  2001a D  
Set 	41:		20018 D  2002a D  2001b D  20019 D  20028 D  2001f D  2001a D  20022 D  
Set 	42:		20027 D  20028 D  2001f D  2001a D  20022 D  20018 D  2002a D  2001b D  
Set 	43:		210a6    20027 D  2001b D  20028 D  2001a D  20022 D  20018 D  2002a D  
Set 	44:		2002a D  20027 D  2001f D  20028 D  20015 D  2001a D  20022 D  20018 D  
Set 	45:		2002a D  20015    20027 D  20022 D  20028 D  2001a D  20018 D  2001b D  
Set 	46:		3d81a    20001    20027 D  20028 D  2001a D  20018 D  2002a D  2001b D  
Set 	47:		20018 D  2002a D  20022 D  2001b D  2001f D  20027 D  20028 D  2001a D  
Set 	48:		20027 D  20028 D  2001a D  20018 D  2002a D  2001f D  20022 D  0    
Set 	49:		20015 D  2001f D  20027 D  20028 D  20019 D  2001a D  20018 D  2002a D  
Set 	50:		2001f D  20022 D  20021    20027 D  20028 D  2001a D  20018 D  2002a D  
Set 	51:		6fc    20027 D  20028 D  2001a D  20018 D  2002a D  2001f D  0    
Set 	52:		2001f D  6fc    20026    20027 D  20028 D  2001a D  20018 D  2002a D  
Set 	53:		20026    20021 D  20027 D  20019 D  20028 D  2001a D  20018 D  2002a D  
Set 	54:		20022 D  20027 D  20026    20028 D  2001a D  20018 D  2002a D  0    
Set 	55:		2002a D  6fd    20023 D  20026    20027 D  20028 D  2001a D  20018 D  
Set 	56:		20023 D  20026    20027 D  20028 D  2001a D  20018 D  2002a D  0    
Set 	57:		6fc    20027 D  20019 D  20028 D  2001a D  20018 D  2002a D  0    
Set 	58:		6fc    20027 D  20028 D  2001a D  20018 D  2002a D  0    0    
Set 	59:		6fc    20027 D  20028 D  2001a D  20018 D  2002a D  0    0    
Set 	60:		210a6 D  20015 D  20027 D  20028 D  20019 D  2001a D  20018 D  2002a D  
Set 	61:		20027 D  20028 D  2001a D  20018 D  2002a D  2001b D  0    0    
Set 	62:		2009b    2001b D  20015    20027 D  20028 D  2001a D  20018 D  2002a D  
Set 	63:		20027 D  2001d D  20028 D  2001a D  20018 D  2002a D  0    0    
Set 	64:		2009b D  20015 D  20027 D  20028 D  2001a D  20018 D  2002a D  2001f D  
Set 	65:		2001b D  2002a D  20026    20027 D  20028 D  2001a D  20018 D  2001f D  
Set 	66:		2009c D  210a6 D  2002a D  211d8    20027 D  20028 D  2001a D  20018 D  
Set 	67:		211d8 D  20027 D  20028 D  2001a D  20018 D  2002a D  0    0    
Set 	68:		20026    20021    20027 D  20028 D  2001a D  20018 D  2002a D  0    
Set 	69:		210a6 D  20027 D  20028 D  2001a D  20018 D  2002a D  0    0    
Set 	70:		2001e D  20027 D  20028 D  2001a D  20018 D  2002a D  0    0    
Set 	71:		6fc    2001e    20027 D  20028 D  20026    2001a D  20018 D  2002a D  
Set 	72:		210a6    20027 D  20028 D  2001a D  20018 D  2002a D  0    0    
Set 	73:		2009c D  210a6    20027 D  20028 D  2001a D  20018 D  2002a D  0    
Set 	74:		20021 D  2002a D  20027 D  20019 D  20028 D  2001e D  2001a D  20018 D  
Set 	75:		20021 D  20027 D  20019 D  20028 D  2001e D  2001a D  20018 D  2002a D  
Set 	76:		20018 D  2001f D  2002a D  20028 D  20019 D  2001e D  2001a D  20021 D  
Set 	77:		2002a D  210a6    20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  
Set 	78:		2002a D  20027 D  20019 D  20028 D  2001e D  2001a D  20021 D  20018 D  
Set 	79:		211d8 D  20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  2002a D  
Set 	80:		211d8 D  20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  2002a D  
Set 	81:		3d81a    2002a D  20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  
Set 	82:		2002a D  211d8 D  20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  
Set 	83:		20018 D  20021 D  2002a D  20027 D  20019 D  20028 D  2001e D  2001a D  
Set 	84:		20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  2002a D  0    
Set 	85:		20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  2002a D  0    
Set 	86:		20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  2002a D  0    
Set 	87:		211aa    20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  2002a D  
Set 	88:		20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  2002a D  0    
Set 	89:		2001b D  2002a D  20019 D  20028 D  2001e D  2001a D  20021 D  20018 D  
Set 	90:		20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  2001b D  2002a D  
Set 	91:		20018 D  2002a D  2001b D  20028 D  20019 D  2001e D  2001a D  20021 D  
Set 	92:		20018 D  2002a D  2001b D  20027 D  20028 D  2001e D  2001a D  20021 D  
Set 	93:		20021 D  2002a D  20018 D  2001f D  2001b D  20028 D  2001e D  2001a D  
Set 	94:		20018 D  2002a D  20027 D  2001f D  20028 D  2001e D  2001a D  20021 D  
Set 	95:		20018 D  2002a D  2001f D  20027 D  20028 D  2001e D  2001a D  20021 D  
Set 	96:		2002a D  20018 D  2001f D  20027 D  20028 D  2001e D  2001a D  20021 D  
Set 	97:		20018 D  2002a D  2001f D  20027 D  20028 D  2001e D  2001a D  20021 D  
Set 	98:		20018 D  20021 D  2002a D  2001f D  20027 D  20028 D  2001e D  2001a D  
Set 	99:		20021 D  2001a D  20018 D  2002a D  20027 D  2001f D  20028 D  2001e D  
Set 	100:		20018 D  20021 D  2002a D  20027 D  2001f D  20028 D  2001e D  2001a D  
Set 	101:		20021 D  20018 D  2002a D  20027 D  20019 D  20028 D  2001e D  2001a D  
Set 	102:		20018 D  2002a D  20027 D  2001f D  20028 D  2001e D  2001a D  20021 D  
Set 	103:		2001f D  211d6    20027 D  2001e D  2001a D  20021 D  20018 D  2002a D  
Set 	104:		20021 D  20018 D  2002a D  20027 D  20019 D  20028 D  2001e D  2001a D  
Set 	105:		2001a D  20021 D  20018 D  20026 D  20019 D  2002a D  20028 D  2001e D  
Set 	106:		20018 D  2002a D  20026 D  20027 D  20028 D  2001e D  2001a D  20021 D  
Set 	107:		2002a D  211d6    20027 D  20028 D  2001e D  2001a D  20021 D  20018 D  
Set 	108:		20021 D  20018 D  2002a D  20027 D  20019 D  20028 D  2001e D  2001a D  
Set 	109:		20021 D  2002a D  20018 D  20026    20027 D  20028 D  2001e D  2001a D  
Set 	110:		2001a D  20021 D  20018 D  20019 D  2002a D  2001b D  20028 D  2001e D  
Set 	111:		20018 D  2001b D  2002a D  20026    20027 D  20028 D  2001e D  20021 D  
Set 	112:		2002a D  211d6    20027 D  20028 D  2001e D  20021 D  20018 D  20029 D  
Set 	113:		20026    2001e D  20018 D  20021 D  20029 D  2002a D  2001b D  20028 D  
Set 	114:		20029 D  20018 D  2002a D  2001f D  20028 D  20026    2001e D  20021 D  
Set 	115:		2002a D  20029 D  20002    20027 D  20028 D  2001e D  20021 D  20018 D  
Set 	116:		20029 D  20018 D  20002    2002a D  20019 D  20028 D  2001e D  20021 D  
Set 	117:		20029 D  20018 D  2002a D  20027 D  20002    20028 D  2001e D  20021 D  
Set 	118:		2002a D  20029 D  20027 D  20002    20028 D  2001e D  20021 D  20018 D  
Set 	119:		20029 D  2002a D  20027 D  20002    20028 D  2001e D  20021 D  20018 D  
Set 	120:		20018 D  20021 D  20029 D  2002a D  2001f D  20019 D  20028 D  2001e D  
Set 	121:		20021 D  20029 D  20018 D  2002a D  2000f    2000e    20028 D  2001e D  
Set 	122:		20029 D  2002a D  20021 D  20018 D  2000f    2000e    20028 D  2001e D  
Set 	123:		20029 D  20018 D  2000e    20027 D  2002a D  20028 D  2001e D  20021 D  
Set 	124:		20029 D  20018 D  2001a D  2002a D  2000e    20028 D  2001e D  20021 D  
Set 	125:		20021 D  2001e D  20029 D  20018 D  2001a D  2002a D  2000f    2000e    
Set 	126:		2002a D  2000f    2000e    2001a D  2001e D  20021 D  20018 D  20029 D  
Set 	127:		2002a D  2000e    2001a D  20019 D  2001e D  20021 D  20018 D  20029 D  
Set 	128:		2002a D  20029 D  20027 D  20019 D  20028 D  2001e D  20021 D  20018 D  
Set 	129:		20018 D  20029 D  2002a D  2001f D  20019 D  20028 D  2001e D  20021 D  
Set 	130:		2002a D  20029 D  20019 D  20002    20028 D  2001e D  20021 D  20018 D  
Set 	131:		20021 D  20018 D  2002a D  20029 D  20027 D  20002    20028 D  2001e D  
Set 	132:		20029 D  2002a D  2000f    20002    20028 D  2001e D  20021 D  20018 D  
Set 	133:		20029 D  20018 D  2000f    2002a D  20002    20028 D  2001e D  20021 D  
Set 	134:		20029 D  2002a D  20027 D  20002    20028 D  2001e D  20021 D  20018 D  
Set 	135:		2002a D  2000f    20027 D  20028 D  2001e D  20021 D  20018 D  20029 D  
Set 	136:		2002a D  2000f    20027 D  20028 D  2001e D  20021 D  20018 D  20029 D  
Set 	137:		2002a D  6fe    20027 D  20028 D  2001e D  20021 D  20018 D  20029 D  
Set 	138:		2002a D  20018 D  20029 D  2000f    20027 D  20028 D  2001e D  20021 D  
Set 	139:		20029 D  2002a D  20018 D  20027 D  20028 D  20019 D  2001e D  20021 D  
Set 	140:		20029 D  20018 D  2002a D  2000f    20027 D  20028 D  2001e D  20021 D  
Set 	141:		20029 D  20019    2002a D  20027 D  20028 D  2001e D  20021 D  20018 D  
Set 	142:		20019 D  20021 D  20018 D  20029 D  2001a D  2002a D  20028 D  2001e D  
Set 	143:		20029 D  20018 D  2002a D  2001f D  20028 D  2001e D  20019 D  20021 D  
Set 	144:		2002a D  20027 D  20028 D  2001e D  20019 D  20021 D  20018 D  20029 D  
Set 	145:		20027 D  20028 D  2001e D  20019 D  20021 D  20018 D  20029 D  2002a D  
Set 	146:		20019 D  20018 D  20021 D  20029 D  20014    2002a D  20028 D  2001e D  
Set 	147:		20018 D  20029 D  20021 D  2001a    2002a D  20028 D  2001e D  20019 D  
Set 	148:		20021 D  20018 D  20029 D  2002a D  20016 D  2000f    20014    20019 D  
Set 	149:		20018 D  20029 D  20000    2002a D  20028 D  2001e D  20019 D  20021 D  
Set 	150:		20019 D  20021 D  20018 D  20029 D  2000f    2002a D  20028 D  20000    
Set 	151:		20021 D  20018 D  20028 D  20029 D  2000f    2002a D  20014    20000    
Set 	152:		20017 D  2002a D  20028 D  2000f    20014    20000    20018 D  20029 D  
Set 	153:		2002a D  20028 D  2000f    20000    20019 D  20021 D  20018 D  20029 D  
Set 	154:		2002a D  20028 D  20000    2001e D  20019 D  20021 D  20018 D  20029 D  
Set 	155:		20028 D  20000    2001e D  20019 D  20021 D  20018 D  20029 D  2002a D  
Set 	156:		2002a D  20017 D  20028 D  2001e D  20019 D  20021 D  20018 D  20029 D  
Set 	157:		211aa    20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	158:		20028 D  2001c D  20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  
Set 	159:		20028 D  2001a D  20001    2001e D  20019 D  20021 D  20029 D  2002a D  
Set 	160:		20028 D  20017 D  20018    2001e D  20019 D  20021 D  20029 D  2002a D  
Set 	161:		20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  0    
Set 	162:		20018    20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	163:		20017 D  20018    2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	164:		2001c D  20017 D  20018    2002a D  20028 D  20019 D  20021 D  20029 D  
Set 	165:		20018    2000f    20017    20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	166:		20018    20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	167:		2002a D  2000f    20028 D  2001e D  20019 D  20021 D  20029 D  20017 D  
Set 	168:		2000f    2001a    2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	169:		2001a    2000f    2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	170:		2000f    20028 D  2001a    2001e D  20019 D  20021 D  20029 D  2002a D  
Set 	171:		20013    2001a    2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	172:		2001a    20018 D  20019 D  20021 D  20029 D  2002a D  20028 D  20013    
Set 	173:		20013    20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	174:		20013    20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	175:		20028 D  20017    20013    2001e D  20019 D  20021 D  20029 D  2002a D  
Set 	176:		2001a    20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	177:		20013    20028 D  2000f    2001e D  20019 D  20021 D  20029 D  2002a D  
Set 	178:		20013    20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	179:		211aa    20027 D  2001e D  20019 D  20021 D  20029 D  2002a D  20028 D  
Set 	180:		20028 D  20027 D  2001e D  20019 D  20021 D  20018 D  20029 D  2002a D  
Set 	181:		20028 D  20027 D  2001e D  20019 D  20021 D  20018 D  20029 D  2002a D  
Set 	182:		20028 D  20027 D  2001e D  20019 D  20021 D  20018 D  20029 D  2002a D  
Set 	183:		2002a D  20028 D  20017 D  2001b D  20019 D  20021 D  20018 D  20029 D  
Set 	184:		20029 D  2002a D  20028 D  2001b D  20017 D  20019 D  20021 D  20018 D  
Set 	185:		2002a D  20028 D  20017 D  2001e D  20019 D  20021 D  20018 D  20029 D  
Set 	186:		2002a D  2001a D  20028 D  2001e D  20019 D  20021 D  20018 D  20029 D  
Set 	187:		20018 D  20017 D  2001a D  20029 D  2002a D  20028 D  20019 D  20021 D  
Set 	188:		20018 D  20029 D  2001a    2002a D  20028 D  20019 D  20021 D  20017 D  
Set 	189:		20029 D  20018 D  20028 D  2002a D  2001a D  20019 D  20021 D  20017 D  
Set 	190:		20028 D  2001e D  20019 D  20021 D  20017 D  20018 D  20029 D  2002a D  
Set 	191:		20028 D  2001e D  20019 D  20021 D  20017 D  20018 D  20029 D  2002a D  
Set 	192:		20028 D  2001e D  20019 D  20021 D  20017 D  20018 D  20029 D  2002a D  
Set 	193:		2002a D  20028 D  2001e D  20019 D  20021 D  20017 D  20018 D  20029 D  
Set 	194:		20018 D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	195:		2002a D  2001b D  20028 D  2001a D  20019 D  20021 D  20017 D  20029 D  
Set 	196:		20029 D  2002a D  2001a D  20028 D  2001e D  20019 D  20021 D  20017 D  
Set 	197:		20028 D  20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	198:		20029 D  2001a D  2001b D  2002a D  20028 D  20019 D  20021 D  20017 D  
Set 	199:		20028 D  2001a    2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	200:		2002a D  3d819 D  2001f D  20028 D  20019 D  20021 D  20017 D  20029 D  
Set 	201:		20017 D  20029 D  2002a D  20028 D  3d819 D  2001e D  20019 D  20021 D  
Set 	202:		20028 D  2001f D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	203:		2002a D  20017 D  20029 D  20028 D  3d819 D  2001e D  20019 D  20021 D  
Set 	204:		20028 D  20023    2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	205:		20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  20028 D  
Set 	206:		2001f D  2002a D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	207:		2001f D  2002a D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	208:		3d819 D  2002a D  20028 D  20019 D  20021 D  20017 D  20029 D  2001f D  
Set 	209:		20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  2001f D  2002a D  
Set 	210:		2002a D  2001f D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	211:		2001f D  2001b D  20028 D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	212:		2001a D  2001f D  2002a D  20028 D  20019 D  20021 D  20017 D  20029 D  
Set 	213:		2001a D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	214:		20029 D  2002a D  20028 D  2001a D  2001e D  20019 D  20021 D  20017 D  
Set 	215:		20029 D  2002a D  20028 D  20027 D  2001e D  20019 D  20021 D  20017 D  
Set 	216:		20028 D  20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	217:		2001f D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	218:		20028 D  20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	219:		20018 D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	220:		20029 D  2001b D  2002a D  2001a D  20018 D  20028 D  20017 D  2001f D  
Set 	221:		20017 D  20018 D  2001b D  20029 D  2002a D  20028 D  20019 D  20021 D  
Set 	222:		20021 D  20017 D  2001f D  20029 D  2001a D  2002a D  20018 D  20028 D  
Set 	223:		20017 D  20029 D  2002a D  2001a D  20028 D  20018 D  20019 D  20021 D  
Set 	224:		20010    20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	225:		2002a D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  2001a D  
Set 	226:		20028 D  20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	227:		20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  20028 D  
Set 	228:		20028 D  20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	229:		20028 D  2002a D  20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	230:		20029 D  2002a D  20027 D  2001e D  20019 D  20021 D  20017 D  2001f D  
Set 	231:		2002a D  20027 D  2001e D  20019 D  20021 D  20017 D  2001f D  20029 D  
Set 	232:		2002a D  2001f D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	233:		2001f D  2002a D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	234:		20017 D  20029 D  2001a D  2002a D  20028 D  2001e D  20019 D  20021 D  
Set 	235:		20029 D  2002a D  20027 D  20028 D  2001e D  20019 D  20021 D  20017 D  
Set 	236:		20029 D  2001f D  2002a D  20028 D  2001e D  20019 D  20021 D  20017 D  
Set 	237:		20029 D  2002a D  2001f D  20028 D  2001e D  20019 D  20021 D  20017 D  
Set 	238:		2002a D  20017 D  20029 D  20027 D  20028 D  2001e D  20019 D  20021 D  
Set 	239:		2002a D  20027 D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	240:		20029 D  2002a D  2001c    20028 D  2001e D  20019 D  20021 D  20017 D  
Set 	241:		2002a D  20027 D  20028 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	242:		211a8    20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	243:		6fb    20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	244:		2002a D  20018 D  20023    2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	245:		20029 D  2002a D  20018 D  20023    2001e D  20019 D  20021 D  20017 D  
Set 	246:		2001c D  2001f D  2002a D  20023    20019 D  20021 D  20017 D  20029 D  
Set 	247:		2001a D  20023    2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	248:		20023    20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	249:		20023    20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  2002a D  
Set 	250:		20029 D  20018 D  2002a D  20023    2001e D  20019 D  20021 D  20017 D  
Set 	251:		2002a D  20023    20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  
Set 	252:		20017 D  20029 D  2001a D  2002a D  20018 D  20023    20019 D  20021 D  
Set 	253:		20017 D  20029 D  2002a D  2001a D  20018 D  2001e D  20019 D  20021 D  
Set 	254:		2001b D  20029 D  2002a D  20018 D  2001e D  20019 D  20021 D  20017 D  
Set 	255:		2002a D  20026    20027 D  2001e D  20019 D  20021 D  20017 D  20029 D  
===== Simulation results (raw) =====
a. number of L1 reads:          63640
b. number of L1 read misses:    545
c. number of L1 writes:         36360
d. number of L1 write misses:   2044
e. L1 miss rate:                0.025890
f. number of L1 writebacks:     290
g. number of L2 reads:          0
h. number of L2 read misses:    0
i. number of L2 writes:         0
j. number of L2 write misses:   0
k. L2 miss rate:                0
l. number of L2 writebacks:     0
m. total memory traffic:        2879
